S.No.,Description,Sub Class,Class,Group,Division,Section
644,"Services related to bearings, gears, gearing and driving elements",28140,2814,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
645,"Manufacture of ovens, furnaces and furnace burners",28150,2815,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
645,"Ovens, furnaces and furnace burners related business activity",28150,2815,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
645,"Services related to ovens, furnaces and furnace burners",28150,2815,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
646,"Manufacture of lifts, escalators and moving walkways",28161,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
646,"Lifts, escalators and moving walkways related business activity",28161,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
646,"Services related to lifts, escalators and moving walkways",28161,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
647,Manufacture of other lifting and handling equipment and parts thereof,28162,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
647,Other lifting and handling equipment and parts thereof related business activity,28162,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
647,Services related to other lifting and handling equipment and parts thereof,28162,2816,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
648,Manufacture of office machinery and equipment,28170,2817,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
648,Office machinery and equipment related business activity,28170,2817,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
648,Services related to office machinery and equipment,28170,2817,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
649,Manufacture of power-driven hand tools,28180,2818,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
649,Power-driven hand tools related business activity,28180,2818,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
649,Services related to power-driven hand tools,28180,2818,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
650,"Manufacture of refrigerating or freezing equipment f industrial use, including assemblies of major components",28191,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
650,"Refrigerating or freezing equipment f industrial use, including assemblies major components related business activity",28191,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
650,"Services related to refrigerating or freezing equipment f industrial use, including assemblies major components",28191,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
651,"Manufacture of air-conditioning machines, including motor vehicles air- conditioners",28192,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
651,"Air-conditioning machines, including motor vehicles air- conditioners related business activity",28192,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
651,"Services related to air-conditioning machines, including motor vehicles air- conditioners",28192,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
652,"Manufacture of fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc.",28193,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
652,"Fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc. related business activity",28193,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
652,"Services related to fire extinguishers and other equipment for projecting, dispersing or spraying liquids or powders whether or not hand-operated, including sand blasting machines, stream cleaning machines etc.",28193,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
653,Manufacture of weighing machinery (other than sensitive laboratory balances),28194,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
653,Weighing machinery (other than sensitive laboratory balances) related business activity,28194,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
653,Services related to weighing machinery (other than sensitive laboratory balances),28194,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
654,Manufacture of filtering and purifying machinery or apparatus for liquids and gases,28195,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
654,Filtering and purifying machinery or apparatus for liquids and gases related business activity,28195,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
654,Services related to filtering and purifying machinery or apparatus for liquids and gases,28195,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
655,Manufacture of other general purpose machinery n.e.c.,28199,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
655,Other general purpose machinery n.e.c. related business activity,28199,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
655,Services related to other general purpose machinery n.e.c.,28199,2819,281,Manufacture of machinery and equipment n.e.c.,Manufacturing
